district_id,district_name,attendance_rate,chronic_absenteeism_rate,dropout_rate,student_count,econ_disadv_pct,eb_el_pct,special_ed_pct,at_risk_pct,hispanic_pct,african_american_pct,white_pct,math_meets_pct,reading_meets_pct
023902,SILVERTON ISD,96.6,7.1,0.0,201,51.2,3.5,9.5,20.9,39.3,0.0,59.2,58.0,65.0
024901,BROOKS COUNTY ISD,90.1,37.7,2.0,1179,85.2,2.8,19.3,66.8,97.6,0.2,1.9,29.0,34.0
025901,BANGS ISD,94.3,15.7,0.0,792,68.1,3.2,12.8,36.6,25.8,3.3,67.9,37.0,52.0
025902,BROWNWOOD ISD,94.3,16.7,0.7,3388,60.4,4.4,17.8,46.0,44.3,3.8,47.0,49.0,51.0
025904,BLANKET ISD,94.1,19.9,0.0,165,63.0,1.2,24.8,12.7,31.5,0.6,66.7,11.0,39.0
025905,MAY ISD,93.5,20.2,0.0,243,52.3,7.0,18.1,41.2,18.5,0.0,75.7,36.0,46.0
025906,ZEPHYR ISD,94.7,15.0,0.0,220,52.7,0.5,17.3,26.4,10.0,0.0,82.7,35.0,63.0
025908,BROOKESMITH ISD,94.6,13.8,0.0,227,63.4,1.8,30.4,33.9,22.9,12.8,57.3,25.0,45.0
025909,EARLY ISD,95.0,11.4,0.3,1063,43.6,3.0,14.5,36.8,27.4,2.1,64.8,49.0,63.0
026901,CALDWELL ISD,93.8,19.7,0.7,1920,61.6,15.9,14.3,36.8,41.0,7.6,46.1,51.0,56.0
026902,SOMERVILLE ISD,92.4,25.0,0.0,561,79.5,11.1,15.5,50.3,40.5,13.9,37.6,22.0,35.0
026903,SNOOK ISD,94.9,11.3,0.6,607,63.3,17.8,14.2,39.5,41.7,12.4,41.7,42.0,44.0
027903,BURNET CISD,93.9,17.3,0.7,3206,58.4,12.2,18.2,54.4,35.4,1.0,59.9,31.0,48.0
027904,MARBLE FALLS ISD,94.6,13.6,0.5,3990,65.4,26.3,20.4,61.1,51.9,1.3,42.5,33.0,45.0
028902,LOCKHART ISD,91.7,28.0,3.3,6732,76.0,39.1,15.4,72.0,81.9,2.3,14.0,34.0,38.0
028903,LULING ISD,93.3,20.7,0.9,1434,81.4,15.1,16.0,55.7,68.5,6.1,22.3,42.0,46.0
028906,PRAIRIE LEA ISD,92.1,27.9,1.3,266,62.4,23.7,16.2,61.7,70.3,4.9,20.3,9.0,17.0
029901,CALHOUN COUNTY ISD,93.3,19.6,0.2,3502,65.8,13.3,14.7,47.5,68.0,1.3,24.5,43.0,56.0
030901,CROSS PLAINS ISD,94.6,13.0,0.9,365,68.5,1.9,14.8,44.4,17.5,0.0,80.8,41.0,65.0
030902,CLYDE CISD,95.0,12.1,0.6,1387,41.6,0.2,18.5,32.7,17.2,0.9,77.7,51.0,61.0
030903,BAIRD ISD,93.9,22.0,0.0,348,65.5,0.3,19.0,36.8,24.1,1.7,70.7,39.0,48.0
030906,EULA ISD,95.8,8.2,0.0,502,39.4,0.8,21.1,26.3,20.3,0.2,74.3,59.0,57.0
031901,BROWNSVILLE ISD,92.0,28.6,0.5,36118,89.3,39.5,18.5,71.5,98.5,0.1,1.0,49.0,54.0
031903,HARLINGEN CISD,93.3,20.6,0.6,16468,76.7,13.8,14.7,62.3,94.6,0.3,4.2,44.0,57.0
031905,LA FERIA ISD,93.4,19.4,1.4,2839,82.8,15.0,15.7,50.5,96.6,0.2,2.7,38.0,49.0
031906,LOS FRESNOS CISD,92.7,22.9,1.0,10330,76.9,23.9,19.7,52.0,96.8,0.1,2.6,53.0,61.0
031909,POINT ISABEL ISD,92.8,22.1,0.6,1783,85.5,39.5,12.7,71.1,91.6,0.2,6.9,34.0,46.0
031911,RIO HONDO ISD,92.5,27.1,2.2,1437,88.4,12.4,18.2,54.9,97.8,0.2,1.9,23.0,45.0
031912,SAN BENITO CISD,91.4,28.9,1.9,9066,84.8,27.6,15.8,62.2,97.9,0.1,1.9,38.0,45.0
031913,SANTA MARIA ISD,94.0,18.4,1.1,512,98.6,41.6,13.3,65.6,99.0,0.2,0.8,31.0,42.0
031914,SANTA ROSA ISD,90.6,33.4,1.3,874,89.0,18.0,15.7,69.5,98.7,0.1,1.1,33.0,49.0
031916,SOUTH TEXAS ISD,93.7,17.7,0.0,4639,57.9,15.0,7.5,31.3,86.9,1.1,6.0,64.0,82.0
032902,PITTSBURG ISD,95.2,10.9,0.0,2242,75.7,22.0,17.1,52.4,46.8,14.5,33.2,62.0,63.0
033901,GROOM ISD,95.2,14.5,0.0,130,24.6,0.8,20.8,27.7,6.9,0.0,87.7,56.0,61.0
033902,PANHANDLE ISD,94.7,12.9,0.0,620,18.5,2.7,17.4,29.7,12.9,1.0,80.0,64.0,72.0
033904,WHITE DEER ISD,95.5,13.2,0.0,321,48.0,3.1,15.6,11.8,17.8,0.6,79.4,50.0,58.0
034901,ATLANTA ISD,94.7,16.1,0.0,1929,63.7,3.6,18.7,42.0,10.6,29.1,52.3,44.0,58.0
034902,AVINGER ISD,94.2,16.0,0.0,112,75.0,1.8,19.6,25.9,3.6,17.9,71.4,48.0,68.0
034903,HUGHES SPRINGS ISD,94.6,15.4,1.7,1090,48.3,4.4,18.3,47.0,14.0,9.4,72.4,44.0,66.0
034905,LINDEN-KILDARE CISD,94.1,18.3,0.0,616,62.8,7.1,20.0,41.4,13.0,15.6,60.4,24.0,45.0
034906,MCLEOD ISD,93.9,16.3,0.0,422,46.7,0.0,18.0,48.6,2.8,0.5,92.2,53.0,57.0
034907,QUEEN CITY ISD,93.5,21.0,0.0,867,64.5,0.0,21.1,48.0,5.1,13.4,73.5,41.0,52.0
034909,BLOOMBURG ISD,93.0,27.0,0.0,229,77.3,2.2,14.4,59.4,7.0,1.3,88.2,31.0,54.0
035901,DIMMITT ISD,93.7,17.8,0.9,1075,79.1,26.1,13.2,53.3,90.1,0.7,8.5,30.0,41.0
035902,HART ISD,95.1,10.3,0.0,206,86.4,41.3,17.5,69.4,93.7,0.0,6.3,37.0,48.0
035903,NAZARETH ISD,96.9,2.3,0.0,243,13.2,0.0,11.1,2.9,7.8,0.0,90.1,81.0,89.0
036901,ANAHUAC ISD,94.6,13.8,0.2,1548,53.0,7.9,18.6,49.2,34.8,8.7,48.4,32.0,41.0
036902,BARBERS HILL ISD,94.9,10.8,0.2,7848,28.8,5.8,13.4,27.1,32.1,4.8,57.2,75.0,76.0
036903,EAST CHAMBERS ISD,94.8,13.0,0.0,1561,63.8,26.5,14.2,49.5,48.2,6.9,40.6,45.0,55.0
037901,ALTO ISD,94.2,16.5,0.0,502,76.9,18.7,18.3,48.4,34.7,22.9,32.5,41.0,46.0
037904,JACKSONVILLE ISD,94.5,15.2,0.8,4695,88.1,36.0,17.7,73.2,55.3,15.2,24.8,31.0,41.0
037907,RUSK ISD,94.7,13.0,0.6,2053,64.0,6.6,15.2,38.9,18.2,12.2,62.6,44.0,57.0
037908,NEW SUMMERFIELD ISD,95.5,11.7,0.0,526,81.4,47.9,12.7,71.1,85.9,1.3,12.2,49.0,56.0
037909,WELLS ISD,94.6,15.0,0.0,239,65.7,3.3,20.9,41.4,10.9,7.5,76.2,18.0,46.0
038901,CHILDRESS ISD,94.7,16.5,0.3,977,57.1,3.2,17.7,41.8,40.2,3.5,50.3,48.0,66.0
039902,HENRIETTA ISD,94.6,15.3,0.0,883,45.8,1.1,21.5,47.8,12.1,1.0,81.2,39.0,53.0
039903,PETROLIA CISD,95.4,9.6,0.0,509,60.7,0.4,19.8,29.1,13.6,1.6,77.2,36.0,53.0
039904,BELLEVUE ISD,95.6,8.4,0.0,231,41.1,0.9,14.7,31.6,6.5,1.7,90.5,47.0,61.0
039905,MIDWAY ISD,96.0,10.0,0.0,137,73.0,2.9,18.2,26.3,5.8,0.0,94.2,53.0,62.0
040901,MORTON ISD,94.8,16.3,0.9,368,75.3,26.1,17.9,67.1,88.9,1.1,9.8,21.0,23.0
040902,WHITEFACE CISD,95.6,5.4,0.0,297,54.2,10.8,18.9,41.1,56.2,0.0,39.4,35.0,51.0
041901,BRONTE ISD,95.1,14.7,0.0,232,34.9,2.6,23.3,31.0,19.0,0.0,80.2,43.0,60.0
041902,ROBERT LEE ISD,94.4,16.4,0.0,269,51.3,6.7,24.2,49.4,48.3,0.4,48.7,31.0,42.0
042901,COLEMAN ISD,93.2,22.6,0.0,794,45.1,1.5,18.6,43.2,30.2,1.6,62.6,36.0,53.0
042903,SANTA ANNA ISD,95.4,9.7,0.0,259,67.6,0.0,14.3,48.3,24.3,5.0,65.6,20.0,38.0
042905,PANTHER CREEK CISD,93.9,20.1,0.0,163,69.9,1.2,28.8,39.9,20.9,1.2,73.6,9.0,38.0
043801,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,96.6,2.8,0.0,1445,2.2,18.2,7.7,22.3,12.0,14.2,16.4,75.0,89.0
043802,IMAGINE LONE STAR INTERNATIONAL ACADEMY,94.8,11.5,,270,2.2,44.8,6.7,45.2,5.9,7.4,15.9,71.0,82.0
